"","ID","stimid","rt","response","correct_response","orig_corr_tot","invt_corr_tot","orig_err_tot","invt_err_tot","orig_corr_pct","invt_corr_pct"
"87",9990,44.2,479.25,1,1,37,9,6,34,86.05,20.93
"160",9990,44.3,765.68,1,0,37,9,6,34,86.05,20.93
"29",9990,45.2,397.82,0,1,37,9,6,34,86.05,20.93
"122",9990,45.3,414.56,0,0,37,9,6,34,86.05,20.93
"17",9990,46.2,302.67,0,1,37,9,6,34,86.05,20.93
"116",9990,46.31,307.21,1,0,37,9,6,34,86.05,20.93
"283",9991,4.2,843.97,1,1,29,26,14,17,67.44,60.47
"271",9991,4.3,947.5,1,0,29,26,14,17,67.44,60.47
"200",9991,5.2,605.45,1,1,29,26,14,17,67.44,60.47
"208",9991,5.3,1050.46,0,0,29,26,14,17,67.44,60.47
"331",9991,6.2,997.17,1,1,29,26,14,17,67.44,60.47
"206",9991,6.3,908.9,0,0,29,26,14,17,67.44,60.47
"321",9991,7.2,606.63,1,1,29,26,14,17,67.44,60.47
"232",9991,7.3,941.94,1,0,29,26,14,17,67.44,60.47
"254",9991,8.2,861.39,1,1,29,26,14,17,67.44,60.47
"214",9991,8.3,923.38,0,0,29,26,14,17,67.44,60.47
"299",9991,9.2,677.05,1,1,29,26,14,17,67.44,60.47
"218",9991,9.3,794.22,1,0,29,26,14,17,67.44,60.47
"351",9991,10.2,739.3,0,1,29,26,14,17,67.44,60.47
"224",9991,10.3,717.27,0,0,29,26,14,17,67.44,60.47
"258",9991,11.2,596.38,1,1,29,26,14,17,67.44,60.47
"230",9991,11.3,707.96,1,0,29,26,14,17,67.44,60.47
"222",9991,12.2,723.48,1,1,29,26,14,17,67.44,60.47
"327",9991,12.3,767.73,0,0,29,26,14,17,67.44,60.47
"311",9991,13.2,643.48,1,1,29,26,14,17,67.44,60.47
"256",9991,13.3,1027.57,0,0,29,26,14,17,67.44,60.47
"281",9991,14.2,634.93,1,1,29,26,14,17,67.44,60.47
"339",9991,14.3,811.59,0,0,29,26,14,17,67.44,60.47
"323",9991,15.2,620.48,0,1,29,26,14,17,67.44,60.47
"345",9991,15.3,764.11,0,0,29,26,14,17,67.44,60.47
"238",9991,16.2,611.86,1,1,29,26,14,17,67.44,60.47
"202",9991,16.3,955.91,1,0,29,26,14,17,67.44,60.47
"216",9991,17.2,670.25,1,1,29,26,14,17,67.44,60.47
"329",9991,17.3,931.81,0,0,29,26,14,17,67.44,60.47
"285",9991,18.2,1065.75,1,1,29,26,14,17,67.44,60.47
"182",9991,18.3,519.68,1,0,29,26,14,17,67.44,60.47
"266",9991,19.2,740.54,1,1,29,26,14,17,67.44,60.47
"273",9991,19.3,794.78,1,0,29,26,14,17,67.44,60.47
"246",9991,20.2,860.69,0,1,29,26,14,17,67.44,60.47
"347",9991,20.3,1067.22,0,0,29,26,14,17,67.44,60.47
"341",9991,21.2,683.35,1,1,29,26,14,17,67.44,60.47
"337",9991,21.3,1028.61,1,0,29,26,14,17,67.44,60.47
"244",9991,22.2,1305.69,1,1,29,26,14,17,67.44,60.47
"277",9991,22.3,1131.71,0,0,29,26,14,17,67.44,60.47
"353",9991,23.2,1214.73,0,1,29,26,14,17,67.44,60.47
"309",9991,23.3,717.79,0,0,29,26,14,17,67.44,60.47
"234",9991,24.2,756.23,1,1,29,26,14,17,67.44,60.47
"194",9991,24.3,899.21,0,0,29,26,14,17,67.44,60.47
"248",9991,25.2,1176.24,1,1,29,26,14,17,67.44,60.47
"319",9991,25.3,885.73,0,0,29,26,14,17,67.44,60.47
"297",9991,26.2,650.96,1,1,29,26,14,17,67.44,60.47
"240",9991,26.3,586.75,1,0,29,26,14,17,67.44,60.47
"210",9991,27.2,1139.02,0,1,29,26,14,17,67.44,60.47
"275",9991,27.3,1206.23,0,0,29,26,14,17,67.44,60.47
"188",9991,28.2,828.83,0,1,29,26,14,17,67.44,60.47
"287",9991,28.3,813.68,0,0,29,26,14,17,67.44,60.47
"301",9991,29.2,861.43,0,1,29,26,14,17,67.44,60.47
"305",9991,29.3,1116.4,0,0,29,26,14,17,67.44,60.47
"293",9991,30.2,664.97,1,1,29,26,14,17,67.44,60.47
"291",9991,30.3,1109.97,0,0,29,26,14,17,67.44,60.47
"343",9991,31.2,1406,0,1,29,26,14,17,67.44,60.47
"262",9991,31.3,996.25,0,0,29,26,14,17,67.44,60.47
"220",9991,32.2,693.94,1,1,29,26,14,17,67.44,60.47
"204",9991,32.3,883.93,0,0,29,26,14,17,67.44,60.47
"212",9991,33.2,685.23,1,1,29,26,14,17,67.44,60.47
"236",9991,33.3,627.38,1,0,29,26,14,17,67.44,60.47
"186",9991,34.2,446.26,1,1,29,26,14,17,67.44,60.47
"228",9991,34.3,1012.35,1,0,29,26,14,17,67.44,60.47
"269",9991,35.2,842.35,0,1,29,26,14,17,67.44,60.47
"333",9991,35.3,1130.39,0,0,29,26,14,17,67.44,60.47
"315",9991,36.2,644.73,1,1,29,26,14,17,67.44,60.47
"250",9991,36.3,708.21,1,0,29,26,14,17,67.44,60.47
"307",9991,37.2,892.69,1,1,29,26,14,17,67.44,60.47
"335",9991,37.3,1426.43,1,0,29,26,14,17,67.44,60.47
"242",9991,38.2,854.64,0,1,29,26,14,17,67.44,60.47
"295",9991,38.3,742.78,0,0,29,26,14,17,67.44,60.47
"196",9991,39.2,710.01,1,1,29,26,14,17,67.44,60.47
